,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
132,203,2,2513,1583668135000,713,3487,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
133,266,2,2512,1612565514000,712,3488,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
134,240,2,2298,1571015612000,498,3702,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
135,44,2,2203,1530731979000,403,3797,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
136,777,2,2199,1611611941000,399,3801,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
137,268,2,2107,1607552826000,307,3893,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
138,163,2,2087,1589167358000,287,3913,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
139,555,1,1792,1607833736000,1792,8,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
140,429,1,1494,1586905411000,1494,306,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
141,5,1,1359,1488233104000,1359,441,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
142,427,1,1213,1606861047000,1213,587,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
143,876,1,1199,1612545037000,1199,601,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
144,523,1,1172,1593469618000,1172,628,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
145,201,1,820,1513301111000,820,980,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
146,246,1,732,1575868724000,732,1068,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
147,60,1,685,1504064387000,685,1115,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
148,518,1,669,1575401715000,669,1131,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
149,421,1,340,1467948394000,340,1460,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
150,154,1,157,1579404339000,157,1643,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
151,147,1,135,1604018660000,135,1665,False,0,5kuUPBajcvsY4fUYMTxV2_SoR9TirRb52TBj9CmQiga2mA
152,67,7,696884,1615435983000,675284,0,True,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
153,41,7,374505,1611275308000,352905,0,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
154,236,7,334945,1615149594000,313345,0,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
155,238,7,221869,1615169059000,200269,0,True,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
156,64,7,217284,1611609060000,195684,0,True,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
157,81,6,216289,1612560846000,194689,0,False,3,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
158,157,6,147651,1612738680000,126051,0,True,3,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
159,119,5,77676,1606871867000,56076,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
160,7,5,50757,1610938985000,29157,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
161,145,5,39853,1611433516000,18253,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
162,92,5,38975,1535321678000,17375,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
163,202,5,38029,1609900383000,16429,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
164,51,5,37724,1610689465000,16124,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
165,103,5,34576,1605671639000,12976,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
166,21,5,34152,1603068850000,12552,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
167,29,5,31654,1604284116000,10054,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
168,222,5,30928,1615165997000,9328,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
